Headlines,Time,Description,cleaned_text,standardized_text,tokens
Cramer: I used the stock market to pay for Harvard Law School," 7:49  PM ET Tue,  3 Sept 2019",Jim Cramer shared the story of how he learned to get an edge on the market.,cramer i used the stock market to pay for harvard law school,cramer i used the stock market to pay for harvard law school,"['cramer', 'stock', 'market', 'pay', 'harvard', 'law', 'school']"
Cramer's top 4 rules for owning stocks," 6:23  PM ET Tue,  3 Sept 2019","Jim Cramer opened up about mistakes of investing, and his rules for owning individual stocks.",cramers top rules for owning stocks,cramers top rules for owning stocks,"['cramers', 'rules', 'owning', 'stocks']"
The evolution of Jim Cramer's 'Mad Money': From stock picking to stock educating," 7:32  PM ET Tue,  3 Sept 2019","Jim Cramer takes a stroll down memory lane to discuss how the Great Recession changed the mission of CNBC's ""Mad Money with Jim Cramer.""",the evolution of jim cramers mad money from stock picking to stock educating,the evolution of jim cramers mad money from stock picking to stock educating,"['evolution', 'jim', 'cramers', 'mad', 'money', 'stock', 'picking', 'stock', 'educating']"
,,,,,[]
This S&P 500 chart just sent a screaming sell signal—here's how to trade it," 9:55  AM ET Tue,  3 Sept 2019","A popular megaphone pattern forming in the chart of the S&P 500 just flashed a bearish signal, warns widely followed strategist Sven Henrich.",this sp chart just sent a screaming sell signalheres how to trade it,this sp chart just sent a screaming sell signalheres how to trade it,"['sp', 'chart', 'sent', 'screaming', 'sell', 'signalheres', 'trade']"
Cramer Remix: How brand names can help you find long-term winners," 6:56  PM ET Fri, 30 Aug 2019",Jim Cramer offers his advice for pinpointing solid investments at a young age.,cramer remix how brand names can help you find longterm winners,cramer remix how brand names can help you find longterm winners,"['cramer', 'remix', 'brand', 'names', 'help', 'find', 'longterm', 'winners']"
"Yes, disinterested teens can actually make the best investors: Cramer"," 6:53  PM ET Fri, 30 Aug 2019",Jim Cramer says teenagers' habits can provide valuable clues on the hottest trends in the market.,yes disinterested teens can actually make the best investors cramer,yes disinterested teens can actually make the best investors cramer,"['yes', 'disinterested', 'teens', 'actually', 'best', 'investors', 'cramer']"
Cramer explains why investing for kids can have a huge payoff," 9:42  PM ET Fri, 30 Aug 2019",Jim Cramer shares the benefits of and top strategies for investing for newborns and young children.,cramer explains why investing for kids can have a huge payoff,cramer explains why investing for kids can have a huge payoff,"['cramer', 'explains', 'investing', 'kids', 'huge', 'payoff']"
Cramer shares a little-known investing concept critical to buying stocks,"10:00  PM ET Fri, 30 Aug 2019",Jim Cramer explains why the idea of suitability is crucial when it comes to individual investing.,cramer shares a littleknown investing concept critical to buying stocks,cramer shares a littleknown investing concept critical to buying stocks,"['cramer', 'shares', 'littleknown', 'investing', 'concept', 'critical', 'buying', 'stocks']"
"Cramer's advice for investing in your 20s, 30s, 40s and beyond"," 9:53  PM ET Fri, 30 Aug 2019",Jim Cramer gives his best advice on how to shape your portfolio for the rest of your life.,cramers advice for investing in your s s s and beyond,cramers advice for investing in your s s s and beyond,"['cramers', 'advice', 'investing', 's', 's', 's']"
,,,,,[]
How this 'reluctant investor' overcame her fear and discovered the power of investing,"11:06  AM ET Fri, 30 Aug 2019","Investing doesn't have to be scary — it can actually be joyful, says author Danielle Town.",how this reluctant investor overcame her fear and discovered the power of investing,how this reluctant investor overcame her fear and discovered the power of investing,"['reluctant', 'investor', 'overcame', 'fear', 'discovered', 'power', 'investing']"
"Cramer Remix: I think Wendy's is a star, I'm sticking with the stock","11:22  AM ET Wed, 28 Aug 2019",Jim Cramer breaks down what's behind the strength in Wendy's stock.,cramer remix i think wendys is a star im sticking with the stock,cramer remix i think wendys is a star im sticking with the stock,"['cramer', 'remix', 'think', 'wendys', 'star', 'm', 'sticking', 'stock']"
Cramer: 3 charts show investors should get ready for a big rally in the stock market in September,"11:35  AM ET Wed, 28 Aug 2019","""The charts, as interpreted by the legendary Larry Williams, suggest that it's time to stop panicking, stop complaining and start buying,"" Jim Cramer says.",cramer charts show investors should get ready for a big rally in the stock market in september,cramer charts show investors should get ready for a big rally in the stock market in september,"['cramer', 'charts', 'investors', 'ready', 'big', 'rally', 'stock', 'market', 'september']"
Cramer's lightning round: Discipline says sell some of the hot Enphase stock," 7:06  PM ET Tue, 27 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round discipline says sell some of the hot enphase stock,cramers lightning round discipline says sell some of the hot enphase stock,"['cramers', 'lightning', 'round', 'discipline', 'says', 'sell', 'hot', 'enphase', 'stock']"
Jim Cramer breaks down recession fears — 'I think the yield curve linkage is wrong'," 7:22  PM ET Tue, 27 Aug 2019","""Until we get some tangible signs that the economy's picking up, you're going to have to get used to the market,"" Jim Cramer says.",jim cramer breaks down recession fears i think the yield curve linkage is wrong,jim cramer breaks down recession fears i think the yield curve linkage is wrong,"['jim', 'cramer', 'breaks', 'recession', 'fears', 'think', 'yield', 'curve', 'linkage', 'wrong']"
Nestle CEO explains the company's sustainability initiatives — 'one of our big themes is recycling',"12:17  PM ET Wed, 28 Aug 2019","CEO Mark Schneider tells Jim Cramer how the food and drink giant is developing aluminum packages that can find a ""useful second life.""",nestle ceo explains the companys sustainability initiatives one of our big themes is recycling,nestle ceo explains the companys sustainability initiatives one of our big themes is recycling,"['nestle', 'ceo', 'explains', 'companys', 'sustainability', 'initiatives', 'big', 'themes', 'recycling']"
Cramer Remix: Why the Johnson & Johnson fine isn't so bad for the company," 9:56  PM ET Mon, 26 Aug 2019",Jim Cramer explains what the Johnson & Johnson ruling means for the stock.,cramer remix why the johnson johnson fine isnt so bad for the company,cramer remix why the johnson johnson fine isnt so bad for the company,"['cramer', 'remix', 'johnson', 'johnson', 'fine', 'nt', 'bad', 'company']"
Cramer's lightning round: Financial stocks are off limits until the yield curve improves," 7:50  PM ET Mon, 26 Aug 2019",Jim Cramer takes calls and delivers answers on viewers' stock picks of the day.,cramers lightning round financial stocks are off limits until the yield curve improves,cramers lightning round financial stocks are off limits until the yield curve improves,"['cramers', 'lightning', 'round', 'financial', 'stocks', 'limits', 'yield', 'curve', 'improves']"
Cramer says investors should 'be prepared for more pain' and 'be able to buy that pain'," 7:48  PM ET Mon, 26 Aug 2019","Wall Street hasn't seen the last of these brutal sell-offs, but ""there's almost always a bounce after the worst of the carnage,"" Jim Cramer says.",cramer says investors should be prepared for more pain and be able to buy that pain,cramer says investors should be prepared for more pain and be able to buy that pain,"['cramer', 'says', 'investors', 'prepared', 'pain', 'able', 'buy', 'pain']"
Starbucks CEO sees no signs of a looming recession - 'We're firing on all cylinders'," 8:21  PM ET Mon, 26 Aug 2019","""We have not seen signs in the U.S. of anything related to a slowdown, but we do know these things go in cycles,"" Starbucks CEO Kevin Johnson says.",starbucks ceo sees no signs of a looming recession were firing on all cylinders,starbucks ceo sees no signs of a looming recession were firing on all cylinders,"['starbucks', 'ceo', 'sees', 'signs', 'looming', 'recession', 'firing', 'cylinders']"
"When it comes to Chick-fil-A versus Popeyes, Tyson Foods wins, Jim Cramer says"," 9:06  PM ET Mon, 26 Aug 2019","As foodies duke it out over which restaurant makes the best chicken sandwich, Jim Cramer says the biggest winner is not who you think.",when it comes to chickfila versus popeyes tyson foods wins jim cramer says,when it comes to chickfila versus popeyes tyson foods wins jim cramer says,"['comes', 'chickfila', 'versus', 'popeyes', 'tyson', 'foods', 'wins', 'jim', 'cramer', 'says']"
Cramer Remix: I'd be a buyer of VMware on weakness," 8:12  PM ET Thu, 22 Aug 2019",Jim Cramer explains why VMware's acquisition doesn't impact his investing thesis.,cramer remix id be a buyer of vmware on weakness,cramer remix id be a buyer of vmware on weakness,"['cramer', 'remix', 'd', 'buyer', 'vmware', 'weakness']"
Cramer's lightning round: The utility stock you want to own and hold," 7:16  PM ET Thu, 22 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round the utility stock you want to own and hold,cramers lightning round the utility stock you want to own and hold,"['cramers', 'lightning', 'round', 'utility', 'stock', 'want', 'hold']"
"Digital wave and values-based business are driving Salesforce's growth, CEO says"," 1:31  PM ET Mon, 26 Aug 2019","Companies want to know our values and if they work with us, ""they want to be aligned with those values,"" Salesforce co-CEO Keith Block says.",digital wave and valuesbased business are driving salesforces growth ceo says,digital wave and valuesbased business are driving salesforces growth ceo says,"['digital', 'wave', 'valuesbased', 'business', 'driving', 'salesforces', 'growth', 'ceo', 'says']"
,,,,,[]
"There is enough economic data for the Fed to warrant a rate cut, Jim Cramer says"," 7:21  PM ET Thu, 22 Aug 2019","""The economy may be in good shape now, but if we keep getting more and more tariffs it could deteriorate,"" Jim Cramer says.",there is enough economic data for the fed to warrant a rate cut jim cramer says,there is enough economic data for the fed to warrant a rate cut jim cramer says,"['economic', 'data', 'fed', 'warrant', 'rate', 'cut', 'jim', 'cramer', 'says']"
Cramer Remix: Lowe's rally was fueled by more than just a strong quarter," 8:27  PM ET Wed, 21 Aug 2019",Jim Cramer breaks down how short bets against Lowe's helped power the stock's rally on a second quarter beat and raise.,cramer remix lowes rally was fueled by more than just a strong quarter,cramer remix lowes rally was fueled by more than just a strong quarter,"['cramer', 'remix', 'lowes', 'rally', 'fueled', 'strong', 'quarter']"
Cramer's primer on cloud stocks: You must know the company if you want to own it," 8:25  PM ET Wed, 21 Aug 2019","There are great cloud plays, ""but if you're going to own these stocks, you need to understand what these companies actually do,"" Jim Cramer says.",cramers primer on cloud stocks you must know the company if you want to own it,cramers primer on cloud stocks you must know the company if you want to own it,"['cramers', 'primer', 'cloud', 'stocks', 'know', 'company', 'want']"
Payroll service CEO sees no deterioration of growth in medium-sized businesses," 7:35  PM ET Wed, 21 Aug 2019","""I think the economy's been strong,"" Paycom CEO Chad Richison says.",payroll service ceo sees no deterioration of growth in mediumsized businesses,payroll service ceo sees no deterioration of growth in mediumsized businesses,"['payroll', 'service', 'ceo', 'sees', 'deterioration', 'growth', 'mediumsized', 'businesses']"
"Cramer: Underlying economy is good, but fear could drive us into recession"," 8:00  AM ET Thu, 22 Aug 2019","""I'd love to say that the optimistic universe is most likely to prevail, but the talking heads talk endlessly about how a recession is inevitable,"" CNBC's Jim Cramer says.",cramer underlying economy is good but fear could drive us into recession,cramer underlying economy is good but fear could drive us into recession,"['cramer', 'underlying', 'economy', 'good', 'fear', 'drive', 'recession']"
Cramer Remix: Don't be alarmed by IAC's spin-off talk," 8:07  PM ET Tue, 20 Aug 2019",Jim Cramer eases investor worry over talks that IAC may spinoff ANGI Homeservices and Match Group to boost value.,cramer remix dont be alarmed by iacs spinoff talk,cramer remix dont be alarmed by iacs spinoff talk,"['cramer', 'remix', 'nt', 'alarmed', 'iacs', 'spinoff', 'talk']"
,,,,,[]
Cramer calls Estee Lauder the 'stock market equivalent of the Patriots'," 7:24  PM ET Tue, 20 Aug 2019","Estee Lauder CEO Fabrizio Freda is ""the Bill Belichick of cosmetics. He gets the job done. He does his assignment,"" Jim Cramer says.",cramer calls estee lauder the stock market equivalent of the patriots,cramer calls estee lauder the stock market equivalent of the patriots,"['cramer', 'calls', 'estee', 'lauder', 'stock', 'market', 'equivalent', 'patriots']"
"Cramer's lightning round: Cronos, Aphria have eclipsed Canopy in the cannabis business"," 6:55  PM ET Tue, 20 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round cronos aphria have eclipsed canopy in the cannabis business,cramers lightning round cronos aphria have eclipsed canopy in the cannabis business,"['cramers', 'lightning', 'round', 'cronos', 'aphria', 'eclipsed', 'canopy', 'cannabis', 'business']"
Cramer: Trump should heed Home Depot's warnings about the consumer and make a trade deal," 9:51  AM ET Wed, 21 Aug 2019","Home Depot CFO Carol Tome says ""consumer confidence is near record high levels"" but ""consumer demand could be impacted"" by lingering U.S.-China trade tensions.",cramer trump should heed home depots warnings about the consumer and make a trade deal,cramer trump should heed home depots warnings about the consumer and make a trade deal,"['cramer', 'trump', 'heed', 'home', 'depots', 'warnings', 'consumer', 'trade', 'deal']"
Cramer Remix: The amusement park stock that'll bring income to your portfolio," 9:04  PM ET Mon, 19 Aug 2019",Jim Cramer breaks down why investors should invest in Cedar Fairs over Six Flags.,cramer remix the amusement park stock thatll bring income to your portfolio,cramer remix the amusement park stock thatll bring income to your portfolio,"['cramer', 'remix', 'amusement', 'park', 'stock', 'll', 'bring', 'income', 'portfolio']"
"A generational shift in consumer tastes is a boon for these retailers, Jim Cramer says"," 7:53  PM ET Mon, 19 Aug 2019","""These days, the consumer is addicted to convenience ... If it doesn't have a great digital presence or incredible bargains, take a pass,"" Jim Cramer says.",a generational shift in consumer tastes is a boon for these retailers jim cramer says,a generational shift in consumer tastes is a boon for these retailers jim cramer says,"['generational', 'shift', 'consumer', 'tastes', 'boon', 'retailers', 'jim', 'cramer', 'says']"
Cramer's lightning round: The reason investors should own Microsoft," 2:06  PM ET Tue, 20 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round the reason investors should own microsoft,cramers lightning round the reason investors should own microsoft,"['cramers', 'lightning', 'round', 'reason', 'investors', 'microsoft']"
"Company earnings give a better read on the economy than the bond market, Jim Cramer says"," 8:04  PM ET Mon, 19 Aug 2019","""I explained over and over again: you get a much better read on the economy by listening to the conference calls of individual large companies,"" Jim Cramer says.",company earnings give a better read on the economy than the bond market jim cramer says,company earnings give a better read on the economy than the bond market jim cramer says,"['company', 'earnings', 'better', 'read', 'economy', 'bond', 'market', 'jim', 'cramer', 'says']"
Cramer's Exec Cut: Challenging conventional wisdom to succeed,"12:50  PM ET Mon, 19 Aug 2019","Jim Cramer examines how Take-Two Interactive, Novocure and Waste Management are breaking the mold in their respective industries.",cramers exec cut challenging conventional wisdom to succeed,cramers exec cut challenging conventional wisdom to succeed,"['cramers', 'exec', 'cut', 'challenging', 'conventional', 'wisdom', 'succeed']"
"Cramer Remix: If I had a hammer, I'd hit myself over the head because of Caterpillar"," 3:00  PM ET Fri, 16 Aug 2019",Jim Cramer reveals why Caterpillar is no longer the cat's meow.,cramer remix if i had a hammer id hit myself over the head because of caterpillar,cramer remix if i had a hammer id hit myself over the head because of caterpillar,"['cramer', 'remix', 'hammer', 'd', 'hit', 'head', 'caterpillar']"
"As investor confidence crumbles, the Fed can act to stave off a recession: Cramer"," 7:16  PM ET Thu, 15 Aug 2019","""If bond yields keep plummeting, it might not matter. We'll scare ourselves right out of this terrific multi-year expansion, for certain,"" Jim Cramer says.",as investor confidence crumbles the fed can act to stave off a recession cramer,as investor confidence crumbles the fed can act to stave off a recession cramer,"['investor', 'confidence', 'crumbles', 'fed', 'act', 'stave', 'recession', 'cramer']"
Cramer's lightning round: Everyone should put 10% of their money in gold," 7:44  PM ET Thu, 15 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round everyone should put of their money in gold,cramers lightning round everyone should put of their money in gold,"['cramers', 'lightning', 'round', 'money', 'gold']"
Cramer: Expect more volatility until the bond market finds some stability," 7:04  PM ET Thu, 15 Aug 2019","""As long as Treasury yields keep plummeting, investors will remain unsure of themselves,"" Jim Cramer says.",cramer expect more volatility until the bond market finds some stability,cramer expect more volatility until the bond market finds some stability,"['cramer', 'expect', 'volatility', 'bond', 'market', 'finds', 'stability']"
Cramer Remix: Macy's ugly fiscal Q2 is not reflective of consumer health," 8:31  PM ET Wed, 14 Aug 2019",Jim Cramer says the performance issues at Macy's are tied to the grim state of mall-based retailers and breaks down bright spots he sees in the sector.,cramer remix macys ugly fiscal q is not reflective of consumer health,cramer remix macys ugly fiscal q is not reflective of consumer health,"['cramer', 'remix', 'macys', 'ugly', 'fiscal', 'q', 'reflective', 'consumer', 'health']"
CEO reveals why Village Farms has an investor edge in the weed market," 7:02  PM ET Wed, 14 Aug 2019","""I'm aligned with our shareholders and I think it brings a different element because I'm at risk,"" CEO Michael DeGiglio says.",ceo reveals why village farms has an investor edge in the weed market,ceo reveals why village farms has an investor edge in the weed market,"['ceo', 'reveals', 'village', 'farms', 'investor', 'edge', 'weed', 'market']"
,,,,,[]
Cramer's lightning round: Expect a 'little more weakness' in this group," 6:53  PM ET Wed, 14 Aug 2019","""Mad Money"" host Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round expect a little more weakness in this group,cramers lightning round expect a little more weakness in this group,"['cramers', 'lightning', 'round', 'expect', 'little', 'weakness', 'group']"
"Cramer: Retail is getting hammered, but it's an opportunity to buy Revolve"," 6:44  PM ET Wed, 14 Aug 2019","Revolve Group is ""part of the reason why Macy's is getting obliterated ... disrupting what's left of the department stores, and it is working,"" Jim Cramer says.",cramer retail is getting hammered but its an opportunity to buy revolve,cramer retail is getting hammered but its an opportunity to buy revolve,"['cramer', 'retail', 'getting', 'hammered', 'opportunity', 'buy', 'revolve']"
"Cramer: Sell some stocks, but it's wrong to panic about a recession"," 7:51  PM ET Wed, 14 Aug 2019","""Our stock market is handcuffed to the bond market ... The momentum is with the bears, not the bulls,"" Jim Cramer says.",cramer sell some stocks but its wrong to panic about a recession,cramer sell some stocks but its wrong to panic about a recession,"['cramer', 'sell', 'stocks', 'wrong', 'panic', 'recession']"
What it would take for Trump to agree to a deal with China," 4:07  AM ET Wed, 14 Aug 2019","Suresh Tantia of Credit Suisse says the U.S. tariff delay was good news, but doesn't change the narrative. He also says American President Donald Trump will only agree to China's conditions for a deal if there's economic weakness in the U.S. or the S&P 500 corrects by more than 10%.",what it would take for trump to agree to a deal with china,what it would take for trump to agree to a deal with china,"['trump', 'agree', 'deal', 'china']"
Cramer Remix: A surprise beneficiary of Trump's tariff delay," 8:01  PM ET Tue, 13 Aug 2019",Jim Cramer breaks down how the banks are impacted by US-China trade tensions.,cramer remix a surprise beneficiary of trumps tariff delay,cramer remix a surprise beneficiary of trumps tariff delay,"['cramer', 'remix', 'surprise', 'beneficiary', 'trumps', 'tariff', 'delay']"
Cramer breaks down the biggest winning stocks from Trump's tariff delay," 7:25  PM ET Tue, 13 Aug 2019","""This a home-run day for Apple, huge wins,"" Jim Cramer says.",cramer breaks down the biggest winning stocks from trumps tariff delay,cramer breaks down the biggest winning stocks from trumps tariff delay,"['cramer', 'breaks', 'biggest', 'winning', 'stocks', 'trumps', 'tariff', 'delay']"
,,,,,[]
Cramer's lightning round: Own Lockheed Martin. It's going to go up," 7:14  PM ET Tue, 13 Aug 2019","It's that time again! Jim Cramer rings the lightning round bell, which means he's giving his answers to callers' stock questions at rapid speed.",cramers lightning round own lockheed martin its going to go up,cramers lightning round own lockheed martin its going to go up,"['cramers', 'lightning', 'round', 'lockheed', 'martin', 'going']"
Cramer: Trump's tariff delay short squeezed stocks to spark a rally," 7:31  PM ET Tue, 13 Aug 2019","Trump gave the market a boost when it seemed like ""everything is falling apart and the stock market's about to roll over,"" Jim Cramer says.",cramer trumps tariff delay short squeezed stocks to spark a rally,cramer trumps tariff delay short squeezed stocks to spark a rally,"['cramer', 'trumps', 'tariff', 'delay', 'short', 'squeezed', 'stocks', 'spark', 'rally']"
"The 'fear gauge' shows the market could be headed for 'choppy waters,' Jim Cramer says"," 7:15  PM ET Tue, 13 Aug 2019","""The averages haven't really digested these latest gains, and like we saw last week, big moves higher can result in some serious stock market reflux,"" he says.",the fear gauge shows the market could be headed for choppy waters jim cramer says,the fear gauge shows the market could be headed for choppy waters jim cramer says,"['fear', 'gauge', 'shows', 'market', 'headed', 'choppy', 'waters', 'jim', 'cramer', 'says']"
Cramer Remix: The stocks worth owning once the coast is clear," 1:37  AM ET Tue, 13 Aug 2019",Jim Cramer warns investors to let the dust settle in this market before committing to the stocks of Dollar Tree and Darden.,cramer remix the stocks worth owning once the coast is clear,cramer remix the stocks worth owning once the coast is clear,"['cramer', 'remix', 'stocks', 'worth', 'owning', 'coast', 'clear']"
CEO of K-cup maker Keurig: Single pods in the US will be recyclable by the end of next year," 1:11  PM ET Tue, 13 Aug 2019","""It's part of a bigger program to make sure that our environmental footprint is down,"" says Keurig Dr Pepper chief Bob Gamgort.",ceo of kcup maker keurig single pods in the us will be recyclable by the end of next year,ceo of kcup maker keurig single pods in the us will be recyclable by the end of next year,"['ceo', 'kcup', 'maker', 'keurig', 'single', 'pods', 'recyclable', 'end', 'year']"
"The economy is not falling into a recession, but the slowdown stocks are working, Cramer says"," 8:31  PM ET Mon, 12 Aug 2019","""The day-to-day action is going to favor the slowdown stocks and wreak havoc for the industrials, the technology stocks, and worst of all the financials,"" Jim Cramer says.",the economy is not falling into a recession but the slowdown stocks are working cramer says,the economy is not falling into a recession but the slowdown stocks are working cramer says,"['economy', 'falling', 'recession', 'slowdown', 'stocks', 'working', 'cramer', 'says']"
Grand Theft Auto maker CEO: It's 'disrespectful' to blame gun violence on entertainment," 7:24  PM ET Mon, 12 Aug 2019","Take-Two CEO Strauss Zelnick says ""gun violence is uniquely American ... and that will only change if we address the real issues.""",grand theft auto maker ceo its disrespectful to blame gun violence on entertainment,grand theft auto maker ceo its disrespectful to blame gun violence on entertainment,"['grand', 'theft', 'auto', 'maker', 'ceo', 'disrespectful', 'blame', 'gun', 'violence', 'entertainment']"
Cramer's lightning round: When Delta's stock will be worth a look," 7:22  PM ET Mon, 12 Aug 2019",Jim Cramer takes calls and delivers thoughts about viewers' favorite stock picks of the day.,cramers lightning round when deltas stock will be worth a look,cramers lightning round when deltas stock will be worth a look,"['cramers', 'lightning', 'round', 'deltas', 'stock', 'worth', 'look']"
"CEO of animal health firm PetIQ says Walmart, retail partnerships help 'pet-parents' save money"," 6:32  PM ET Thu,  8 Aug 2019","""Our partnerships with retailers has allowed us to access a population of pets and bring our mission forward of being advocates for those pet-parents,"" PetIQ CEO Cord Christensen tells Jim Cramer.",ceo of animal health firm petiq says walmart retail partnerships help petparents save money,ceo of animal health firm petiq says walmart retail partnerships help petparents save money,"['ceo', 'animal', 'health', 'firm', 'petiq', 'says', 'walmart', 'retail', 'partnerships', 'help', 'petparents', 'save', 'money']"
Cramer: These two digital health stocks you can buy at a massive discount," 6:25  PM ET Thu,  8 Aug 2019",Jim Cramer says investors should turn their attention to new stocks that are trading at a big discount versus where they were several weeks ago.,cramer these two digital health stocks you can buy at a massive discount,cramer these two digital health stocks you can buy at a massive discount,"['cramer', 'digital', 'health', 'stocks', 'buy', 'massive', 'discount']"
Cramer says a 'set of bogus worries' spooked investors out of stocks this week," 6:09  PM ET Thu,  8 Aug 2019","""It's clear that selling stocks into the teeth of the sell-off earlier this week was a big mistake,"" Cramer says.",cramer says a set of bogus worries spooked investors out of stocks this week,cramer says a set of bogus worries spooked investors out of stocks this week,"['cramer', 'says', 'set', 'bogus', 'worries', 'spooked', 'investors', 'stocks', 'week']"
Bausch Health CEO: Big Pharma will survive US drug regulations," 6:52  PM ET Wed,  7 Aug 2019","Pharmaceuticals are ""the most cost effective way"" to treat and improve health care, Bausch Health Chariman and CEO Joseph Papa says.",bausch health ceo big pharma will survive us drug regulations,bausch health ceo big pharma will survive us drug regulations,"['bausch', 'health', 'ceo', 'big', 'pharma', 'survive', 'drug', 'regulations']"
GW Pharma CEO: More education needed on real health benefits of drugs derived from cannabis,"12:06  PM ET Thu,  8 Aug 2019","""We're really at the beginning of this journey,"" GW Pharmaceuticals CEO Justin Gover tells CNBC's Jim Cramer.",gw pharma ceo more education needed on real health benefits of drugs derived from cannabis,gw pharma ceo more education needed on real health benefits of drugs derived from cannabis,"['gw', 'pharma', 'ceo', 'education', 'needed', 'real', 'health', 'benefits', 'drugs', 'derived', 'cannabis']"
Cramer: Action in the bond market does not mean a recession is 'around the corner'," 6:29  PM ET Wed,  7 Aug 2019","Jim Cramer says that the U.S. economy is not on the verge of a recession, despite the rush for the safety of government bonds.",cramer action in the bond market does not mean a recession is around the corner,cramer action in the bond market does not mean a recession is around the corner,"['cramer', 'action', 'bond', 'market', 'mean', 'recession', 'corner']"
,,,,,[]
Cramer Remix: Tariffs will not send the US into recession,"10:39  PM ET Tue,  6 Aug 2019",Jim Cramer explains why the health of the U.S. economy is not entirely dependent on a deal with China.,cramer remix tariffs will not send the us into recession,cramer remix tariffs will not send the us into recession,"['cramer', 'remix', 'tariffs', 'send', 'recession']"
Cramer's lightning round: Expect eBay to get a big deal for StubHub," 9:05  PM ET Tue,  6 Aug 2019",Jim Cramer hears from viewers live in front of the New York Stock Exchange and gives them his thoughts about their stock picks.,cramers lightning round expect ebay to get a big deal for stubhub,cramers lightning round expect ebay to get a big deal for stubhub,"['cramers', 'lightning', 'round', 'expect', 'ebay', 'big', 'deal', 'stubhub']"
Cramer: Don't break these rules if you want your stock portfolio to make money," 8:53  PM ET Tue,  6 Aug 2019","Traders violated every rule in the book during the market sell-off. ""I don't want you to repeat their mistakes,"" Jim Cramer says.",cramer dont break these rules if you want your stock portfolio to make money,cramer dont break these rules if you want your stock portfolio to make money,"['cramer', 'nt', 'break', 'rules', 'want', 'stock', 'portfolio', 'money']"
Etsy CEO says its second-quarter results will prove to be a 'breakthrough quarter'," 4:59  PM ET Wed,  7 Aug 2019","""We announced three bold new initiatives this quarter each of which I think set us up for really great growth for the future,"" Josh Silverman says.",etsy ceo says its secondquarter results will prove to be a breakthrough quarter,etsy ceo says its secondquarter results will prove to be a breakthrough quarter,"['etsy', 'ceo', 'says', 'secondquarter', 'results', 'prove', 'breakthrough', 'quarter']"
Cramer explains what must happen before the market can sustain a rally," 8:59  PM ET Tue,  6 Aug 2019","Issues around currency, yields and earnings still have not been resolved, despite Tuesday's market bounce, Jim Cramer says",cramer explains what must happen before the market can sustain a rally,cramer explains what must happen before the market can sustain a rally,"['cramer', 'explains', 'happen', 'market', 'sustain', 'rally']"
Cramer Remix: Why Microsoft is the best of the large-cap stocks," 9:41  PM ET Mon,  5 Aug 2019",Jim Cramer explains that Microsoft is the one to buy of the large cap stocks due to its little China exposure and its recent quarter.,cramer remix why microsoft is the best of the largecap stocks,cramer remix why microsoft is the best of the largecap stocks,"['cramer', 'remix', 'microsoft', 'best', 'largecap', 'stocks']"
,,,,,[]
Aphria CEO explains the biggest opportunity in the Canadian weed business," 1:17  AM ET Tue,  6 Aug 2019","""There's a $5 billion market out there [where] products are sold into the illicit market,"" Aphria interim CEO Irwin Simon says.",aphria ceo explains the biggest opportunity in the canadian weed business,aphria ceo explains the biggest opportunity in the canadian weed business,"['aphria', 'ceo', 'explains', 'biggest', 'opportunity', 'canadian', 'weed', 'business']"
Cramer reveals 7 sectors of opportunity amid steep market-wide sell-off," 8:43  PM ET Mon,  5 Aug 2019",Jim Cramer suggests investors begin finding new positions in stocks among the rubble after a deep market sell-off.,cramer reveals sectors of opportunity amid steep marketwide selloff,cramer reveals sectors of opportunity amid steep marketwide selloff,"['cramer', 'reveals', 'sectors', 'opportunity', 'amid', 'steep', 'marketwide', 'selloff']"
Cramer says it's time to slowly buy stocks — 'Nobody ever made a dime panicking'," 8:34  PM ET Mon,  5 Aug 2019","If you slowly buy the stocks of companies with great fundamentals, you will be in good shape when the smoke clears around trade tensions, Jim Cramer says.",cramer says its time to slowly buy stocks nobody ever made a dime panicking,cramer says its time to slowly buy stocks nobody ever made a dime panicking,"['cramer', 'says', 'time', 'slowly', 'buy', 'stocks', 'dime', 'panicking']"
What to do with your 401(k) as the market tanks," 4:13  PM ET Mon,  5 Aug 2019",The market's roller coaster ride may have you tempted to move investments in your retirement nest egg. Here's what financial advisors say you should do instead.,what to do with your k as the market tanks,what to do with your k as the market tanks,"['k', 'market', 'tanks']"
Cramer Remix: You don't need a roaring economy for this stock to do well," 8:24  PM ET Thu,  1 Aug 2019",Jim Cramer explains his rationale behind being a buyer of McDonald's stock.,cramer remix you dont need a roaring economy for this stock to do well,cramer remix you dont need a roaring economy for this stock to do well,"['cramer', 'remix', 'nt', 'need', 'roaring', 'economy', 'stock']"
